,Comment
18,Wtf! Câu của mình là tục ngữ lâu r! Bạn ko có câu tục ngữ nào nói lại! Thì bắt đầu dùng từ ngữ bình để nói hả! Thật là ko cùng đẳng cấp!
19,Chú ơi con người Bắc con 13 tủi :<<
20,Đm miền nào mà chẳng có mấy thằng láo cá . Có tí xíu là khinh khi người nghèo
21,bắc kì chó 9 xác
22,Thằng lz này m sắp ăn sút rồi con ạ
23,Bạn nói đúng nhóc con mà xưng hô bố mày là mún đập chết mẹ nó rồi. Bởi lẽ miền Trung và Nam ghét bắc kỳ là chỗ ấy
24,"1965 Bắc trồng lúc cứu Nam 
53 năm sau : Nam chửi Bắc 
Quào .. 1 sự trả ơn như lờ :)"
25,Ông Anh nói hay. Không tiếc 1 like
26,Hello my friends :v
27,An nham luu dan to cha lu
28,Sao lại phân bắc trung nam ra làm gì các bạn ơi người bắc người nam hay trung nơi nào chả có nhiều lọai thành phần. Đừng nói ai trẻ trâu hay non nớt thiếu suy nghĩ giờ Là 2018 mà vẫn có những thanh niên 30 đêan 35 tuổi vẫn mở mồm ra là chửi địt cha địt mẹ mà trong khi đó có những em 19 20 thì lại ăn nói rất tử tế.các bạn đừng nên nhìn một phía ở đâu cũng có người này người kia già trẻ đều có kẻ bố láo mất dạy vô văn hóa và bên cạnh đó lại có những người rẩ văn hóa rất tử tế lịch sự của mọi lứa tuổi nhé
29,Like mạnh
30,Con gái Bắc củng ứ ừ lắm
31,"Bắc Kỳ gọi ""Tổ Quốc"" là ""tổ cuốc"" chửi"" ba que"" là"" ba koe"" , chửi thế ""ba que"" họ cứ nghe nhầm là ""ba ke""😌😌😌😌"
32,Đm tao miễn bắc nek đừng bao giờ coi thường dân Bắc kì nghe chưa
33,Thằng trong video k xứng đáng làm 1 người Việt nữa sao anh ta lại có tư tưởng thế anh ta k biết rằng nếu anh ta làm thế thì sẽ càng có nhiều người miền nam ghét người bắc hơn mà khi hai miền mà xung đột thì rất có thể sẽ có 1 thằng khác nhảy vào chiếm lấy 1 miền sau đó là phá nát hòa bình việt nam cả nghìn năm chiến tranh chưa đủ à mà còn nghĩ thế nên cứ hạnh phúc vì cái hòa bình mình có đi và đừng có kêu ca gì hết còn về việc tiếng nói thì mỗi miền có 1 cách nói khác nhau nên bạn cứ thông cảm cho giọng nói của người khác và nói chuyện bằng giọng của vùng miền bạn chứ đừng có kêu nọ kêu kia
34,đa số người bắc chỉ coi nam kỳ là dân ăn bám và hay hốc và chưa có đóng góp gì xây dựng việt nam
35,Bác kì là những con chó. Nói chung là thế
36,"Người Nam không thích người Bắc cũng chỉ vì một bộ phận người Bắc vào Nam ăn nói kiểu bố đời, mất dạy, coi thường dân bản địa, như kiểu "" bố mày đi tới đâu đều là đất của bố mày cả "" thì ai mà ko ghét ?... chứ dân miền Nam chúng tôi rất hiền Lành, thậm chí nhiều khi bị dân miền khác ức hiếp cũng Dĩ Hoà Vi Quý mà cho qua... nhưng nếu ai cố tình xúc phạm Dân Miền Nam nói chung thì đều bị dạy cho bài học đầy máu, điển hình như vụ mấy thanh niên Bắc bị anh em ở Bình Dương dạy dỗ hội đồng hay vụ Thanh niên bắc bị nhừ đòn ở Bùi Viện...."
37,nam kỳ toàn lũ liếm đít dân bắc kỳ mà sủa như thật ạ
38,"""Cách bn nhận xét về họ cũng là cách mà họ phán xét về bn thôi"" 🙃"
39,Dm nói thật dân nam 100 hết 85 phần trăm ghét nó rồi đc cái sạo lồn là hay
40,Mình trả bao giờ thích giao lưu với người bắc cả trai và gái
41,tụi bay đâu . đập chết mẹ bắc ki
42,"Địt mẹ  bọn miền nam .....😡😠
Chúng m thì kinh rồi 😱😱"
43,dkm bắc thì sao m nc vừa thôi thằng chó
44,Mấy thằng bắc kỳ con đâm cha chém chú này là 1 thiểu số ung nhọt tội phạm hình sự mà dân bắc kỳ chúng tôi rất ghét đề nghị đồng bào cả nước chung tay góp sức bài trừ
45,Chỉu hay lắm anh ơi.....
46,Làm cái clip thách thức đi
47,Tôi cũng người Bắc nhưng tôi cũng rất ghét cái kiểu nói chuyện mất dậy đó.Suốt ngày Địt nhất là người Nam Định
48,"nam kỳ nhiều trẻ trâu ko nên chấp vặt làm chi, người miền trung ghét nam kỳ hơn bắc kỳ"
49,Triệu hồi cư dân mạng Bắc Kỳ Chó.
50,"Bắc kì là 1 lủ phá hoại,ngoài bắc khổ chết mẹ nên vào ăn cướp miền nam, dm cái tolet mà nó tưởng cái thao rửa rau muống là biết rồi"
51,Chữi cho nó cút hết về Bắc đi
52,"Gái Bắc thì đanh đá, nói tục và mất nết như mấy con nhỏ giang hồ. Còn trai Bắc thì tệ hơn nữa"
53,"mình là nam kì mình thấy các bạn bắc kì rất giỏi. Các bạn thông minh thi đhọc k cần học điểm cao tút trời, địt pẹ mỗi ngày và pố mày ... nhiều lắm nam kì tụi mình đc học văn hoá tuyệt vời của mấy bạn đến bay giờ ra đuong toàn địt pẹ vải cả lồn mẹ chúng mày :))) cảm ơn các bạn đã vô nam và cho chúng mình giải phóng yên bình nhé !"
54,"Tôi ghét Bắc Kỳ con lắm nhưng không ghét gái Bắc Kỳ, gái Bắc Kỳ dâm phải biết, chơi bao phê. Còn tụi Bắc Kỳ con nào cảm thấy bị xúc phạm thì alo cho tao kiếm kèo solo, chứ đừng anh hùng bàn phím comment chửi nhau qua lại đồ mệt lắm, 0918440332"
55,Bị chửi là dân Bắc kỳ HUẤN HOA HỒNG bức xú   https://www.youtube.com/watch?v=45S2yrQjMUk
56,"Thế giờ tôi mới biết người Miền Nam ghét Người Miền Bắc chúng tôi thế đấy. Vậy thì người Miền Nam cũng nên biết người Miền Bắc chúng tôi không ai miệt thị hay cướp bóc của các bạn đâu. Các bạn xem người Miền Bắc chúng tôi cũng chẳng có ai gọi Nam K* hết.( Tôi cũng không biết có phải là hết không nữa). Còn Các bạn là người Việt Nam người trong một nước phải yêu thương nhau chứ. Sao lại người Miền Nam cứ muốn tẩy chay Miền Bắc chúng tôi hế nhỉ? Tôi biết người Miền Nam cũng có nhiều người không miệt thị Miền Bắc lám 
Đó cũng chỉ là tôi nghĩ như thế. Tôi là dân Miền Bắc mà có chửi bới gì người Miền Nam các bạn đâu."
57,miệng lưởi của máy thằng bắc kỳ nhọn lắm nên sủa nhiều
58,ĐCS đã bịa chuyện về sài gòn hồi xưa rất khổ nhưng thật ra sống rất sung sướng
59,Thôi mấy thằng champa với khmer chúng m bị bắc tụi tao chiếm rồi thì im mẹ mồm mà cam chịu đi :)))
60,Đơn giản t ghét bắc kì vì cứ mở miệng là địt mẹ m
61,Sao minh thấy người mn đọc toàn sai chính tả vậy? Không ma nói hông
62,Bắc kỳ xấu tính hay xỏ xiên chửi rủa nói tục bốc phét giỏi nịnh bợ củng gioi ko riêng gì miền man miền trung họ gét bắc kỳ lắm
63,Nói tóm lại là ng miền bắc đéo biết điều. Trong đầu luôn nghĩ nó là ông cố nội ngkhac mà méo biết núi này cao còn có núi kia cao hơn. Ếch ngồi đáy giếng
64,Bắc kì gión
65,chui hay lam a bac ky auto suc sinh
66,mình rất muốn xem bạn chửi 3quesao giờ chửi bắc kỳ vậy ta? đã gọi là trẻ con thì chấp gì hình như bạn đại diện cho nhóm cờ đỏ.
67,cái địt mẹ mày chứ tao bắc kì con nè
68,Nghe mấy thằng Bắc kỳ bố bố con con là tao thấy ứa gan rồi
69,Bắc kỳ cái địt mẹ mày chứ kỳ :)) cái thằng xàm lồn
70,"Tôi thấy nhiều người chẳng biết mình là ai mà tự lên mạng nói đại diện cho cả vùng miền để chửi vùng miền khác,  mà thường những kẻ đó chỉ thuộc tầng đáy của xã hội, làm cái vai trò trụ cột gia đình còn không xong, chỉ vô công rồi nghề mới ảo tưởng và có thời gian lên ăng..ẳng...Ngày xưa các ông tổng thống VNCH còn chưa bao giờ chửi cả vùng miền như vậy, tối thiểu phải biết mình ở địa vị gì trong xã hội đã."
71,Bac cai con di me may
72,Toàn mấy thằng cào phím =))
73,địt mẹ thằng khmer mọi nói chuyện ngu vãi lồn bố mày tán chết cụ mày
74,Ý kiên riêng của mình thời xưa bắc kì sinh ra trong bụng con chó và được chó giậy nên mới láo đến vậy đừng chửi mình vì đây là ý kiến riêng
75,"Nói 1 điều người miền nào xưng ba , tính ngàn ,chửi đụ là người đàng trong bao gồm miền Trung và Nam.Riêng Bắc Trung Bộ Thanh Nghệ Tĩnh. Các bạn tự chọn nhé.Bác Hồ năm xưa theo học ở  Quốc Học Huế đó nơi khởi thủy xứ đàng Trong.Các binh đoàn Bắc Trung năm xưa theo chúa Nguyễn đánh Bắc Ha đánh Thanh dẹp Trịnh bao lần ,các nhân tài xứ Thanh Nghệ Tĩnh cũng bao lần đổ máu cho sự thống nhất.Người giàu trên cả nước này chiếm đa phần là Người Bắc Trung không phải Bắc kỳ"
76,Chú Nguyễn khi vào Nam đã thấy đổi tập tục phong cách sống người Việt phía nam sao cho khác với người Việt phía Bắc.và vùng đất đầu tiên cõi miền nam là Quảng Bình Quảnng Trị Thừa Thiên Huế quảng Nam ..Bình Thuận .Vì vậy gốc gác người miền nam đã thấy đổi kể từ thời chúa Nguyễn .Và nam Kỳ bây giờ tổ tiên chính thức là người miền Trung từ Quảng bình trở vào.đây là 1 sự thật ng miền Trung và người miền nam thực chất là một vì cõi miền nam đầu tiên là miền Trung.
77,"Trước hết tôi phản đối chủ thớt giật tít câu view. Bất cứ nơi đâu trên thế giới đều có người tốt kẻ xấu,bản thân tôi sinh ra ngoài bắc gia đình tôi không phải khá giả khi đi học tôi được một cô chú chủ nhà trọ giúp đỡ rất nhiều,cô giúp tôi tìm được một công việc làm thêm để kiếm thêm thu nhập trang trải cuộc sống xa nhà giữa Hà Nội,thấy tôi gia cảnh khó khăn cô cũng không lấy tiền thuê trọ và ăn uống tại nhà cô. Sau này ra trường tôi làm việc tại một công ty có được cử vào TPHCM làm việc, tại đây tôi thực sự bắt đầu một cuộc sống đầy đủ màu sắc. Đúng người Miền Nam họ hay thẳng thắn không khách dễ đoán biết hơn người miền bắc, sinh ra đã được dạy giữ kẽ ,khách sáo nên khó đoán biết hơn. Tốt bạn cũng không thể nhận ra nếu gặp một hai lần, xấu thì càng khó đoán.người miền nam nói đến mặt kia thì họ cũng không có ý tứ nhiều khi cảm thấy bị tổn thương trong câu nói họ cũng không ái ngại.những cấp độ lừa lọc trong công việc và quan hệ bạn bè bản thân tôi đã bị chính dân miền nam gốc lừa cả một cửa hàng khi tôi tin tưởng giao công việc của cửa hàng cho họ, chị ấy là con của quân dân miền nam còn bác chủ nhà là vợ của quân lính vnch chỉ vì một triệu tiền mặt bằng và một triệu tiền hoa hồng cho chị con dâu họ đánh bật tôi khỏi nơi bắt đầu khởi nghiệp của mình một cách cay đắng nhất,sau này chỉ vì không mượn được tiền của người chị kia con dâu của bác ấy đã gọi và kể cho tôi nghe rất nhiều sự việc đó, tất nhiên ngày tôi ở đó đã bị mượn rất nhiều tiền và sau này chính bản thân tôi phải lên tiếng không đòi nữa, cho luôn vì quá rẻ rách ù lì không trả.tranh cướp khách hàng nói dối tôi vẫn làm chủ ở đó nhưng đang đi công tác cho công ty, Tuy nhiên tôi cũng gặp được rất nhiều bạn bè cả 2 miền ở đây họ sống rất tốt nhưng cũng có một bộ phận không tốt vẫn tồn tại, có nghĩa là bạn nên sống chân thành với người tốt và bình thường quan hệ với những người còn lại trên danh nghĩa con người,quan trọng bạn phải đủ tinh tường để nhận ra con người họ bạn sẽ sống tốt được bất cứ nơi đâu nếu bạn đủ nhân cách con người. Tôi thấy một bộ phận giới trẻ bây giờ không am hiểu lịch sử không có tinh thần cầu tiến lúc nào cũng chỉ muốn đòi hỏi xã hội đáp ứng cho mình mọi điều. Xã hội này chính là các bạn, các bạn tốt xã hội sẽ tốt lên ,các bạn nhận thức được vấn đề các bạn sẽ hiểu. Chúng ta là một bộ phận người dân ,người chúng ta liên quan trực tiếp đến là những lãnh đạo cấp thấp nhất trong bộ máy nhà nước, bản thân tôi khi đi làm giấy tờ nhà và tạm trú đều bị họ hành xác khi không có bôi trơn, họ là ai? Là người miền nam đó, người miền nam tốt không? Tốt chứ. Vì tôi lại được chính người cấp cao hơn họ giúp đỡ rất nhiệt tình không vụ lợi. Chúng ta gặp những người xấu rồi chúng ta mất đi niềm tin vào con người, nơi ở hay vùng đất chỉ là nơi nuôi sinh ra họ không phải nơi tạo ra đức tính họ. Bạn cứ phấn đấu tốt, gặp chuyện xấu lấy đó làm bài học kinh nghiệm sống cho chính cuộc đời bạn. Tôi chưa bao giờ quy chụp người miền nào xấu bởi theo tôi ở đâu cũng có người tốt kẻ xấu, ví như các bạn bênh vực Miền Bắc thì bạn nhìn thấy những mặt tốt của bạn và liên quan đến bạn, những người trái chiều với bạn họ cũng như bạn thôi. Các bạn cứ sống tốt và là niềm cảm hứng truyền tinh thần lòng tốt cho người khác chắc Việt Nam là thiên đàng sống chứ không phải ở đâu đó trong suy nghĩ thiên đàng ở đâu đến chết vẫn muốn lên được thiên đàng."
78,"Xem xong clip này nhớ lại vụ khi sáng. Thằng chó Bắc Kỳ vay tiền ngân hàng vào kêu kiểm tra nó chửi mình như tát nước, gì mà ""chủ mày ko đàng hoàng, mày cũng ko đàng hoàng, m nghĩ việc đi làm 3 5 triệu. Gặp tao ỏ ngoài đời là tụi m ko yên, ngân hàng bịp... vv và vv... ko cho mình nói dân gì đâu mà mất lịch sự khó ưa"
79,"Bắc Kỳ , 4k năm...đói.

Đói triền miên, đói dã man luôn, câu chào tàn bạo ở cửa miệng của họ luôn là : Ý a bác ăn cơm chưa ??

Người đc hỏi sẽ gật đầu nói : iem ăn rồi bác ợ.... !!!

Ăn đéo gì đâu, đói thối mồm giả vờ giả vịt.

Mốt của người Bắc 198x là hỡi ôi ngậm cái tăm, để chứng minh : dcm chúng mài bố vừa ăn xong đó nha....
.. đó hầu như là 1 đẳng cấp.
Ngậm cái tăm trong mồm đi nghênh ngang trên đường làng vương vãi phân trâu nước cống, giống như bạn lái BMW mui trần đi số 1 chầm chậm dọc đại lộ phó đức chính quận nhất vậy.

Đm nhà chúng nó đang ăn cơm, có ai quen đi qua, chúng nó hay mời : mời bác ăn cơm ạ ạ ạ... 
Mời đểu đó nha, câu đó hiểu là Hello how r u ..

Hoạc hehe hay khen : chị đẹp quá, cứ là béo đỏ ra... 
Béo nghĩa là hehe có ăn, nghĩa là lời khen đó nha, đéo phải chửi đểu đâu. Nếu chị nào đó quê mùa BKC khen 1 bạn khác là béo quá, thì hiểu họ có thiện ý khen tuy với tư duy trong não đói 4k năm.

Vua Hùng, vua đấy nhé, giai cấp thống trị đó nha, đưa hồ sơ đấu thầu kén rể và thàng thắng là đứa đưa đồ ăn.
Đến vua còn đói, dân đen các bạn có cơ hội đéo gì?

Cuối cùng, hóa ra vua chọn bánh chưng và bánh dầy, vì hehe đói quá.

Lãnh tụ các bạn hay mặc đồ hehe rách hay dản dỵ, đó là tư duy của quân đói khát thối mồm đó.

Chửi cái nhà to của ai đó, cũng là tư duy 4k năm của lũ đói thối mồm.

Ngay cả truyện cổ, anh em cũng chọn cái hehe niêu cơm, ăn hết lại đầy, hỡi ôi đói vl ra.

Kỉ lục Annam, tôi soi toàn bát phở to nhất, bánh tét to nhất, hủ tiếu to nhất, bánh chưng to nhất, quanh quẩn vẫn là đồ ăn và cái đói muôn đời của quân nhược tiểu....

Cơ mà do đâu đói nhỉ, các bạn rừng vàng, biển bạc, rẽ cá mới thấy nước, chim thú ê chề cơ mà ???

Hay do các bạn lười, ngu, láo, bội tín và thích chiến tranh ???"
80,"Những thanh niên chửi Bắc Kỳ  này lọ ,họ có phải người Nam không nhỉ..?  À mà hỏi ngu cái người Nam có Phải là tất cả các tỉnh phía Nam ( gọi là người Nam không vậy)  ..? À mà những thành phần hay chửi với kỳ thị người khác thì chúng nó thuộc dạng người nào nhỉ...???  Chúng nó đã cho ai được đồng nào chưa, chúng nó làm được cái trò chống gì cho đời chưa..?  Hay chỉ là những thằng ăn bám vào bàn phím để thể hiện sự tốt đẹp... Bà má chúng mày xl quá... Lúc nào cũng thể hiện sự tốt đẹp bằng việc kể lể, hằn học người khác... Hài quá các bố. Tôi người Bắc cũng mong 1 lần được vào Nam một lần coi người trong Nam sống thế nào, nhưng Lên mạng thấy các thánh chửi dân Bắc cũng thấy tư cách các vị kém rồi. Kiểu này là cũng không muốn tiếp xúc rồi.. Ở ngoài này cũng được tiếp xúc với mấy em miền Tây,nhưng là ở trong quán massage . Thấy mấy em nó cũng tội nhưng cũng chẳng hiểu được gì ngoài đòi tiền bo....."
81,"Được nghe bắc kỳ thuyết minh mà  nghe  chưa  , nam  kỳ  nói  trọ choẹ  nghe chán  , chả ai muốn  nghe  thuyết minh  , bắc kỳ  , toàn thủ tướng anh hùng  , Nam kỳ  , toàn đầu Trâu mặt ngựa  ,, chỉ  biết  sủa  ,  cứ  mỗi  lần  nó  chả  có  việc  j lên  sủa  , bắc kỳ  họ  còn  phải  lo  ăn hoc , chu ko có hơi đâu sủa  ,gái bắc vừa có tài  có  đức,  công , dung , ngôn  ,hạnh"
82,Hồi trước mình vào SG học nó miệt thị mình vl nó bảo về bắc mày ở đi mày trong khi đó đéo làm gì nó
83,"Đọc bình luận thì đa số thấy người trong nam đá xéo hoặc nhiếc móc bắc kỳ đủ thứ,hầy sao miền nam các anh chị hay vỗ ngực tự hào là phóng khoáng sảng khoái đằm thắm tình nghĩa mà tính khí nhỏ nhen như đàn bà vậy,cùng là người Việt với nhau phải có tinh thần bành trướng dân Việt ra thế giới chứ.Ở đâu mà chẳng có người nọ người kia,còn đứa nào cảm thấy mình tốt rồi thì im con mẹ mồm đi."
84,Thằng này bố địt vào mồm m luôn t đánh sml m luôn con ạ dcm bố m cho dân bọn m làm nô lệ luôn con ạ dân m dell là cái lồng j
85,Địt mẹ cái thằng phản động này. Bày trò chia rẽ đoàn kết dân tộc à
86,Lũ bắc kì chó
87,mik cũng chỉ noi Bắc kỳ mà sao no nhột hay gi ma sủa ghê thật
88,Bắc kỳ lai china ;))
89,Địt mẹ bắc kỳ
90,Thằng bạn tôi gia đình nó từ bắc vào nam sống năm 45 nó nói còn không ưa gì tụi bắc kì nữa chính nó còn nói như vậy
91,nghe câu BẮC KÌ đã thấy ngứa rồi
92,"tôi là người miền nam... sinh ra và lớn lên ở miền nam... tôi nói về chuyện vung miền như sau.. Nam hay Bắc gì củng cùng 1 quê hương Viet nam cả.. người miền bắc tính thích nói đùa còn gọi là chém gió.. nhưng trong câu nói có lúc hơi lố.. kém duyên..nên 1 số ng miền nam kh ưa ở chổ đó... còn ng miền nam nc văng tục chửi thề.. kể nhìu câu chuyện kh thể tin đc đi chăng nửa củng dừng ở mức độ vừa phải.. có duyên nên kh ai ghét chỉ ngồi cười
rỏ ràng như v... nói về chém gió về vui nhộn hài kịch.. tui  nói thật chả ai xem hài Bắc... nhưng nói về gốc độ xã hội thì người miền bắc cần cù chiệu khó nên giàu có hơn miền nam...nhưng làm bao nhiêu tiền của củng không hưởng thụ bao nhiêu...miền nam quan điểm làm ra tiền phải hưởng thụ thì mới đáng sống nên có khi người nam làm 1 mà tiêu xài 10 đối vs họ bình thường... chỉ cần vui vẻ tiền bạc kh thành vấn đề... cho nên về văn hóa về phong cách quan điểm sống 2 miền quá khác nhau...kh thích nhau là chuyện bth.. về clip của Duy Nguyễn đang nói là nói các thành phần trẻ trâu sủa bậy miền nào củng có.. kh riêng bắc hay nam quá rỏ ràng.. nhưng nhiều ae miền bắc và nam vào cmt chửi nhau do mấy ae đó nâng cao quan điểm của mình quá...chưa có sự  thông cảm cho nhau"
93,Bắc kì con bắc kì cha bắc kì cụ nội cc gì mình cũng ghét hết đỉ mẹ bọn bắc kì chó
94,mấy thằng bên dưới toàn mấy thằng nam kỳ con
95,Nói thêm dân nam trung nói chung  rất ghét cái kiểu xưng bố của mấy bạn nghe láo lắm.có ăn có học mà nói chuyện mất dạy.có đẻ ra ng khác không mà bày đặt nói này nọ.Ngày nay tuy phân biệt ba miền nhưng nếu ai có chịu đọc sử hoặc tìm hiểu Người miền Trung vs người miền đều là người đàng trong cùng nguồn gốc con cháu nhà Nguyễn.
96,tao là người miền trung nhưng tao thấy bọn miền nam đa số đều ngu
97,"Bắc Kỳ ăn cá rô phi, còn sương để lại nam Kỳ ăn cho"
98,Bắc kì chó mà
99,Năm.xưa Nam kỳ thích ăn cứt mỹ thế là Anh bắc kỳ thấy ngu vào vả cho tung mõm lên vẫn ko tỉnh à . vẫn sủa à . muốn ăn cứt mỹ tip à kkkk
100,Tao lại thích chất bắc cơ - nếu thằng áo đỏ có bản lĩnh thì mày ra đất bắc chỗ công cộng mà tuyên bố là người bắc thế nọ thế kia thì tao sẵn sàng phục mày sát đất còn ngồi trong phòng sủa bậy thì nói làm cái gì để xem chúng mày còn xác mà mang về đất nam nữa không .
101,đừng vì 1 thằng trẻ con mà tóm cả nắm lại chứ ;-; ở miền nam cũng có trẻ trâu mà ;-;
102,nam kỳ xấu tính thường thích bú đít mấy anh mỹ rồi giờ về bú đít mấy anh bắc kỳ cứ ỉa ra là nam kỳ lại liếm hết vì nam kỳ chỉ ăn với hốc
103,thằng này sáp bị đánh
104,Duy Nguyên-----------mày đúng là thăng miêng chó không moc đuoc ngà voi
105,Ăn cái báo cáo gây hiểu nhầm nha
106,Bố địt vào mồm bọn Nam Kỳ. Vì tội óc cứt lai Cam
107,dkm may nam ky oc lon
108,Lòn mẹ bọn nam kỳ.
109,Bắc kì là công sản đó thằng lồn Duy Nguyen mày chửi bắc mày chửi ông cha mày đã theo cộng sản đó
110,Nam kỳ loz
111,"Nam kì chúng mày chỉ ghen ăn tức ở nên mới chửi thôi. Vì chúng mày bất tài vừa ngu vừa lười, bọn t chăm chỉ và thông minh hơn nên bọn t mới bị chúng m ghét. Trong lúc bọn mày cào phím sủa ẳng thì bọn t đi làm kiếm tiền, mua hết nhà cửa, đất đai, địt nhau với đàn bà miền nam của bọn m đấy :)) Ghen ăn tức ở muôn đời đéo khá đc đâu hỡi mấy thằng ngu nam kì ạ"
112,nam kỳ lol
113,nam kỳ lol dit me may
114,Găp Thằng chó ngáo đá này nưa
115,Bắc kỳ uống nước bằng lu nam kỳ uống nước bằng cu bắc kỳ
116,Tao chưa thấy thằng nam kì nào giám ra bắc làm ăn cả :)) ngồi cào phím là nhanh
117,Khá bảnh bị bắt làm trẻ con cả nước khóc và bỏ ăn mấy ngày nay
118,"Xh không có chuyện Đúng-Sai
- Chú CA ơi Cháu Sai Rồi 😂"
119,"Trong tù không rượu cũng không bar
Cô Yến cúng vong lên nóc nhà
Thiện đánh DJ bên song cửa
Khá Bảnh múa quạt đuổi hồn ma!!!"
