,Comment,Type
22,Thông báo của quân đội Syria vào tuần trước về việc ngừng bắn 72 giờ ở Idlib đã khiến giới quan sát tin rằng các cuộc gọi giữa Thổ Nhĩ Kỳ và Nga có thể đã làm dịu đi tình hình một cách hiệu quả.,0.0
23,"Tuy nhiên, thông báo này không đúng với thực tế. Báo cáo từ Idlib chỉ ra rằng các cuộc tấn công của chính quyền Syria dường như vẫn tiếp tục.",0.0
24,Chuyên gia Ergin cũng nhấn mạnh sự mâu thuẫn của Ankara khi phụ thuộc vào Moscow trong việc kiềm chế lực lượng Syria tấn công ở Idlib.,0.0
25,"Trên thực tế, tin tức từ hiện trường cho thấy Nga thậm chí còn tích cực tham gia vào các hoạt động này và các cuộc bắn phá của không quân Nga còn đóng một vai trò quan trọng.",0.0
26,"“Tình hình đang bước vào giai đoạn đụng độ có kiểm soát giữa các nhóm đối lập Syria do Thổ Nhĩ Kỳ hỗ trợ và chính quyền Assad do Nga hỗ trợ”, chuyên gia Ergin diễn giải, đồng thời cho rằng nó giống như một cuộc chiến ủy nhiệm giữa Nga và Thổ Nhĩ Kỳ.",0.0
27,Đối đầu với Mỹ vì không muốn chọc giận Nga?,0.0
28,"Trong bối cảnh này, Tổng thống Erdogan tiếp tục khẳng định rằng Thổ Nhĩ Kỳ sẽ không hủy bỏ quyết định mua các hệ thống phòng thủ tên lửa S-400 của Nga bất chấp các mối đe dọa trừng phạt của Mỹ.",0.0
29,"Ankara cũng bày tỏ hy vọng rằng S-400 sẽ được giao sớm hơn dự định trong tháng tới. Trong khi đó, ông Erdogan tuyên bố Thổ Nhĩ Kỳ cũng sẽ tham gia sản xuất hệ thống S-500 thậm chí còn tiên tiến hơn, mặc dù Moscow chưa chứng thực đầy đủ tin tức trên.",0.0
30,"Với lập trường cứng rắn của mình về S-400, rõ ràng Thổ Nhĩ Kỳ có ý định gửi một thông điệp mạnh mẽ tới Mỹ - quốc gia mà Thổ Nhĩ Kỳ cũng có sự khác biệt sâu sắc ở Syria. Điều này cũng cho thấy, Ankara dường như không muốn đưa ra lập trường nào sẽ gây phẫn nộ cho Moscow liên quan đến S-400.",0.0
31,"Tuy nhiên, sự miễn cưỡng như vậy rồi sẽ làm suy yếu “cánh tay” Thổ Nhĩ Kỳ ở Syria, nơi họ hy vọng rằng sự hợp tác chặt chẽ hơn với Nga sẽ cho phép làm đảo lộn các kế hoạch của Mỹ ở phía Đông sông Euphrates trên lãnh thổ của người Kurd – YPG.",0.0
32,Ankara coi YPG là một nhóm khủng bố và muốn loại bỏ nhóm này ở miền Bắc Syria.,0.0
33,"Tuy nhiên, những kỳ vọng của Ankara vẫn chưa được thực hiện. Thất bại trong việc đưa YPG ra khỏi Tal Rifaat - nơi nhóm này có sự bảo lãnh tương đối của Nga - cũng phơi bày ""cánh tay yếu ớt"" của Thổ Nhĩ Kỳ trong việc đưa ra yêu sách với Moscow.",0.0
34,"Thổ Nhĩ Kỳ cũng đang dựa vào mối quan hệ với Nga để đối trọng với mối quan hệ đã xấu đi với phương Tây, nơi cam kết của họ đối với tư cách thành viên NATO cũng đang bị hoài nghi.",0.0
35,"Nhà phân tích an ninh Nihat Ali Ozcan tin rằng mối quan hệ đang phát triển của Ankara với Moscow bao trùm một lĩnh vực rộng lớn, từ hợp tác quân sự và kinh tế đến hợp tác năng lượng, và lập luận rằng điều này ngăn cản Thổ Nhĩ Kỳ công khai chỉ trích Nga về hành động ở Syria.",0.0
36,"Hơn cả, Thổ Nhĩ Kỳ cũng cảm thấy bối rối vì đã không thực hiện đúng các cam kết mà họ đã hứa hẹn ở Sochi với Nga trong việc đưa các nhóm khủng bố ra khỏi Idlib, nhà phân tích Ozcan nói với Al-Monitor.",0.0
37,"Điểm mấu chốt này trong mối quan hệ của Thổ Nhĩ Kỳ với Nga đã giúp Moscow chiếm thế thượng phong trước Ankara, mà phía Nga rõ ràng có ý định sử dụng lợi thế của mình.",0.0
38,Nhật Bản: Có thể “bóc lịch” tới 3 năm chỉ vì 1 ly bia,0.0
39,"Như Zing đưa tin, Nhật Bản có khung hình phạt nghiêm khắc vào loại nhất thế giới với các tội liên quan đến uống rượu bia và lái xe.",0.0
40,"Với nồng độ cồn từ 0,15 mg/lít khí thở (tương đương với 1 ly bia), người điều khiển xe bị quy vào lỗi ""lái xe trong điều kiện không tỉnh táo"", bị phạt tù lên tới 3 năm và 500.000 yen (khoảng 4.500 USD hay 104 triệu đồng).",0.0
41,"Khi cảnh sát giao thông phát hiện tài xế ""lái xe trong tình trạng say rượu"", người vi phạm có thể bị phạt tới 5 năm tù và 1 triệu yen (khoảng 200 triệu đồng).",0.0
42,"Đặc biệt, nếu phương tiện của lái xe say rượu hoặc không tỉnh táo chở theo hành khách, hành khách cũng bị xử phạt tiền hoặc thậm chí ngồi tù.",0.0
43,"Đối với những lái xe không tuân thủ yêu cầu kiểm tra nồng độ cồn, họ có thể bị quy vào tội chống người thi hành công vụ với mức phạt tương đương hoặc hơn tội lái xe trong tình trạng say rượu.",0.0
44,Nhật Bản quy định những hình phạt cho tội lái xe say rượu gây tai nạn là 20 năm đối với tai nạn chết người và 15 năm đối với tai nạn không chết người.,0.0
45,Singapore: Có thể bị xử lý hình sự,0.0
46,"Đảo quốc Sư tử nổi tiếng với sự sạch sẽ và kỷ luật và cũng không nhân nhượng với những hành vi lái xe vô trách nhiệm. Singapore cũng có hình phạt tù, phạt tiền và lao động công ích đối với hành vi lái xe sau khi sử dụng đồ uống có cồn.",0.0
47,"Nếu bị phát hiện có nồng độ cồn trên 0,35 mg/lít khí thở, người điều khiển phương tiện sẽ bị phạt tiền lên đến 5.000 SGD (tương đương 3.600 USD hay 85 triệu đồng) và đối diện với 6 tháng tù giam.",0.0
48,"Ở Singapore, việc xử phạt sẽ dựa vào từng vụ việc. Các mức phạt sẽ được quy định dựa trên 2 yếu tố, đó là sự nguy hiểm của hành vi và nồng độ cồn của lái xe.",0.0
49,Những lỗi nặng nhất sẽ có thể bị truy cứu trách nhiệm hình sự và đối diện với các hình phạt tù và lao động công ích.,0.0
50,Anh: Tước bằng lái xe,0.0
51,"Ở Anh quốc, người lái xe thậm chí còn chưa kịp điều khiển phương tiện đã bị phạt nếu phát hiện ra có nồng độ cồn vượt quá mức cho phép.",0.0
52,Một người sẽ bị phạt ngay nếu sau khi uống rượu bia mà có ý định điều khiển phương tiện tham gia giao thông. Tức là chỉ cần ngồi trong ôtô mà hơi thở có nồng độ cồn vượt quá mức cho phép cũng sẽ bị phạt.,0.0
53,"Nước này phạt từ 3 đến 6 tháng tù, phạt tiền từ 2.500 bảng (khoảng 3.100 USD hay tương đương 75 triệu đồng) và tước bằng lái một năm (hoặc 3 năm nếu tái phạm) cho hành vi lái xe hoặc có ý định lái xe sau khi uống rượu bia.",0.0
54,Nga: Thu bằng lái tới 3 năm,0.0
55,"Theo Vietnamnet, ở Nga, tài xế lần đầu vi phạm việc lái xe khi trong người có nồng độ cồn sẽ bị phạt 30.000 rúp (hơn 10 triệu đồng), đồng thời bị thu giữ bằng lái từ 1 năm rưỡi đến 2 năm. Tái phạm sẽ bị phạt 50.000 rúp (hơn 17 triệu đồng) và thu bằng lái 3 năm. Người giao xe cho người say xỉn điều khiển cũng bị phạt tương tự.",0.0
56,"Mỹ: Tham gia chương trình giáo dục, cải tạo",0.0
57,"Mức độ cồn trong máu của lái xe chỉ cần từ 50 - 80 microgram/100ml máu sẽ bị tước bằng lái xe đến 6 tháng, bị phạt ngồi tù từ 1 - 60 ngày. Sau thời hạn giam còn phải tham gia chương trình giáo dục, cải tạo dành cho người vi phạm lái xe trong tình trạng có độ cồn.",0.0
58,"Vấn đề S-400 đang trở nên phức tạp hơn với việc Washington không chấp nhận sự cương quyết của Thổ Nhĩ Kỳ. Mỹ tiếp tục khẳng định rằng thỏa thuận nên dừng lại, nhưng Thổ Nhĩ Kỳ coi việc mua hệ thống phòng không Nga là ""thỏa thuận đã được thực hiện"".",0.0
59,"Bộ trưởng Quốc phòng Hulusi Akar đã có các cuộc họp quan trọng với giới chức Mỹ vào tháng trước và khi nói về tình hình gần đây với các phóng viên, ông nói rằng Mỹ vẫn đang cố gắng ngăn cản Thổ Nhĩ Kỳ mua S-400. Tuy nhiên, Ankara quyết tâm thực hiện thỏa thuận này.",0.0
60,"Do không có sự thay đổi dự kiến nào trong chính sách của Thổ Nhĩ Kỳ liên quan đến việc mua vũ khí Nga, nên có thể Mỹ sẽ cố gắng áp dụng các biện pháp trừng phạt đối với Thổ Nhĩ Kỳ. Do đó, Ankara đang thực hiện các bước chuẩn bị để ứng phó.",0.0
61,"“Nếu nhìn vào bức tranh lớn hơn, chúng ta thấy một vấn đề rất rõ ràng. Washington cố gắng thao túng các quyết định chính sách đối ngoại của các quốc gia khác bằng vũ lực, xây dựng các rào cản chống lại thương mại tự do và thúc đẩy các Chính phủ phải tuân theo mình”, cây bút Nagehan Alci nhận định trên Daily Sabah.",0.0
62,"Theo cây bút Alci, hợp đồng S-400 của Thổ Nhĩ Kỳ là một câu chuyện nói về việc chống lại sự áp đặt đó. Tất nhiên, điều này không dễ dàng. Và quan trọng hơn, vũ khí Nga sẽ không là lý do đẩy Thổ Nhĩ Kỳ ra khỏi khối ảnh hưởng của phương Tây. Ankara có mối quan hệ chặt chẽ với phương Đông và phương Tây và nên giữ vững lập trường của mình mà không đưa ra quá nhiều nhượng bộ.",0.0
63,"Theo cây bút Alci, đó là lý do tại sao một giải pháp tốt để vượt qua cuộc khủng hoảng S-400 hiện tại có thể là cứ để vấn đề này “nguội” đi theo thời gian. Không bên nào có thể thực hiện các bước đi tiếp theo vì cả hai đều tự giới hạn lập trường của mình và hơn cả là khán giả quốc tế đang tập trung theo dõi chủ đề này.",0.0
64,"Thổ Nhĩ Kỳ đang hoàn thành trách nhiệm của mình trong dự án F-35 và hy vọng chương trình sẽ tiếp tục như kế hoạch. Tuy nhiên, Mỹ khăng khăng tuyên bố rằng S-400 không thể được tích hợp vào các hệ thống NATO và gây nguy hiểm cho vai trò của Thổ Nhĩ Kỳ trong kế hoạch F-35.",0.0
65,"“Đó không phải là về sự tích hợp của một hệ thống; đó là về sự hợp nhất của Thổ Nhĩ Kỳ vào đường chân trời do người Mỹ kiểm soát”, Alci nêu quan điểm. “Đó là vấn đề khiến Thổ Nhĩ Kỳ chống đối. Tuy nhiên Thổ Nhĩ Kỳ không nên đi theo chính sách đối đầu mà nên tiến hành ngoại giao cửa sau để thuyết phục chính phủ Donald Trump”.",0.0
66,"Điều quan trọng nhất đó là không có điều khoản nào trong thỏa thuận F-35 nói rằng một quốc gia sẽ bị loại khỏi kế hoạch nếu mua S-400. Thổ Nhĩ Kỳ đã trả 1,2 tỷ USD và sản xuất các bộ phận được đặt hàng trong thời gian qua.",0.0
67,"Mỹ nên xem xét lại đóng góp của Thổ Nhĩ Kỳ và ngừng gây áp lực để lấn át các quyết định lớn vì hành vi đó có khả năng biến đồng minh thành kẻ thù, cây bút Alci nhấn mạnh.",0.0
68,"Erdogan Karakush, một trung tướng nghỉ hưu của không quân Thổ Nhĩ Kỳ thì tin rằng, quan điểm của Mỹ về vấn đề F-35 là không hợp pháp.",0.0
69,"“Không có thông tin nào trong chương trình F-35 có nhắc đến S-400. Tất cả điều này chỉ là một cái cớ. Mục tiêu chính của người Mỹ là đình chỉ việc giao F-35 cho Thổ Nhĩ Kỳ. Trong tình huống này, người ta không chỉ chú ý đến lập trường của Mỹ mà phải nhìn sang cả Israel và Hy Lạp, những nước quan tâm đến việc có được các hợp đồng trị giá hàng tỷ USD để cung cấp phụ tùng cho chương trình F-35. Theo thỏa thuận hiện tại, Thổ Nhĩ Kỳ đang có các hợp đồng này. Họ quan tâm đến việc loại trừ Thổ Nhĩ Kỳ ra khỏi chương trình để có các hợp đồng trên. Vì vậy, căng thẳng không chỉ giới hạn ở mối quan hệ giữa Thổ Nhĩ Kỳ và Mỹ hay S-400”, Karakush giải thích.",0.0
70,"Bằng cách cung cấp một hệ thống vũ khí hiện đại và tinh vi như S-400 cho một quốc gia thành viên NATO, Nga đã thể hiện một lập trường táo bạo và tận tụy. Trên thực tế, người Nga cũng có thể bày tỏ mối lo ngại về khả năng NATO nắm được thông tin về S-400.",0.0
71,"Trớ trêu thay, chỉ có mỗi Washington bày tỏ sự không hài lòng và lo ngại về điều này, còn “người bán” như Moscow thì không.",0.0
72,"Theo TASS, tại cuộc họp báo hôm 23/5, người phát ngôn Bộ Ngoại giao Nga Maria Zakharova cho biết sự hiện diện của tàu chiến Mỹ gần bờ biển Venezuela chỉ làm gia tăng sự mất lòng tin.",0.0
73,"Theo nhà ngoại giao, hôm 9/5, một tàu chiến thuộc lực lượng bảo vệ bờ biển Mỹ đã xuất hiện cách cảng La Guaira của Venezuela khoảng 20 km.",0.0
74,"“Hành động này chỉ làm gia tăng thêm tình hình căng thẳng và không hề đóng góp cho những nỗ lực gây dựng lòng tin”, bà Zakharova nhấn mạnh.",0.0
75,"“Ngoài ra, phe đối lập Venezuela đã gặp gỡ và đàm phán với Bộ Chỉ huy miền Nam của quân đội Mỹ nhằm lật đổ chính phủ hợp pháp ở Venezuela”, bà Zakharova cáo buộc.",0.0
76,Nhà ngoại giao nhắc lại quan điểm của Nga về việc hối thúc các chính trị gia Venezuela tìm kiếm giải pháp hòa bình để giải quyết cuộc khủng hoảng chính trị cũng như phản đối những động thái nhằm kích động nội chiến hoặc bạo lực.,0.0
77,Bà Zakharova cũng đã lên tiếng chỉ trích hành động cảnh sát Mỹ đột nhập vào tòa nhà đại sứ quán Venezuela ở Washington hồi tuần trước.,0.0
78,"“Việc làm này vi phạm Khoản 22 và Khoản 45 trong Công ước Vienna về bảo vệ phái đoàn ngoại giao”, phát ngôn viên Bộ Ngoại giao Nga chỉ rõ.",0.0
79,"Cuộc khủng hoảng chính trị ở Venezuela ngày càng trở nên nghiêm trọng sau khi thủ lĩnh đối lập Juan Guaido tự nhận làm Tổng thống lâm thời Venezuela vào ngày 23/1. Nhiều nước như Mỹ và một số đồng minh phương Tây đã lên tiếng ủng hộ ông Juan Guaido. Tuy nhiên, Nga, Belarus, Bolivia, Iran, Cu ba, Nicaragua, Syria, Thổ Nhĩ Kỳ cùng một số quốc gia khác khẳng định ông Maduro là Tổng thống hợp pháp của Venezuela.",0.0
80,"Hôm qua, Tổng thống Venezuela ra lệnh cho quân đội nâng cao cảnh giác, đồng thời truy bắt ""những kẻ phản bội"" trong hàng ngũ.",0.0
81,"""Tôi đã yêu cầu các quân binh chủng nâng cao cảnh giác, sẵn sàng bảo vệ hòa bình và đánh bại mọi nỗ lực của đế quốc ở Bắc Mỹ nhằm chống lại đất nước chúng ta. Hòa bình chính là chiến thắng"", Tổng thống Venezuela Nicolas Maduro viết trên mạng xã hội Twitter.",0.0
82,"Tuyên bố được đưa ra trong bối cảnh nhiều quan chức Mỹ, trong đó có Cố vấn An ninh Quốc gia John Bolton, liên tục cảnh báo ""mọi phương án"" giải quyết khủng hoảng Venezuela đều được xem xét, ám chỉ việc sử dụng biện pháp can thiệp quân sự.",0.0
83,"Tổng thống Venezuela hôm 21/5 gặp gỡ các đơn vị quân đội trong sự kiện mang tên ""Cuộc tuần hành trung thành"" ở bang Carabobo. ""Nếu phát hiện những kẻ phản bội, hãy truy bắt chúng ngay lập tức, đó là mệnh lệnh"", ông Maduro phát biểu và ra lệnh cho lực lượng vũ trang nước này kích hoạt các hệ thống vũ khí nhằm ""ngăn chặn mọi âm mưu phiêu lưu quân sự chống lại Venezuela"".",0.0
84,"Hôm 10/5, Bộ trưởng Tài chính Mỹ Steven Mnuchin thông báo Washington đã áp lệnh trừng phạt đối với hai công ty vận tải, đăng ký tại quần đảo Marshall và Liberia, cùng hai tàu chở dầu thuộc các công ty này. Cả hai tàu này bị cáo buộc đã vận chuyển dầu của Venezuela cho Cuba.",0.0
85,Bộ trưởng Mnuchin cho biết các hoạt động vận chuyển dầu là một phần trong sự ủng hộ của Cuba dành cho Tổng thống Venezuela Nicolas Maduro. Ông Mnuchin cảnh báo Mỹ sẽ gia tăng lệnh trừng phạt nếu Cuba tiếp tục “nhận dầu của Venezuela để đổi lấy sự hỗ trợ về quân sự”.,0.0
86,"Ngoài ra, Bộ trưởng Tài chính Mỹ cũng dọa áp đặt thêm các lệnh trừng phạt với lực lượng quân đội và tình báo Venezuela nếu họ không rời bỏ chính quyền Maduro.",0.0
87,Xem thêm >> Lý do Nga nhất quyết bảo vệ chính quyền TT Venezuela Nicolas Maduro,0.0
88,Đặc phái viên Nga tại Libya Lev Dengov cho biết cuộc tấn công của tướng Khalifa Haftar vào Tripoli đã bị đình trệ và ông không thể chiếm thủ đô Libya.,0.0
89,"Trong một cuộc phỏng vấn với Bloomberg, Dengov cho biết, hoàn toàn có thể dự đoán được rằng tướng Haftar sẽ bị sa lầy khi nhân vật này không có khả năng chiếm lấy Tripoli và điều đó đã trở nên rõ ràng.",0.0
90,"Dengov nói thêm rằng nếu các bên ở Libya vẫn bất hòa và các cường quốc bên ngoài cũng rơi vào tình trạng tương tự, sẽ không có hòa bình ở quốc gia Bắc Phi. ""Cuộc xung đột sẽ tiếp diễn cho đến khi một nhà lãnh đạo nổi lên, người có thể đoàn kết tất cả mọi người”, ông Dengov nói.",0.0
91,"Moscow tin rằng cuộc khủng hoảng Libya nên được giải quyết một cách hòa bình và họ không có ý định ủng hộ hay ""bật đèn xanh"" cho bất kỳ bên nào trong cuộc xung đột, đặc phái viên Nga nói thêm.",0.0
92,"""Chính sách của chúng tôi không thay đổi. Tôi tin rằng nó sẽ không thay đổi. Chúng tôi ủng hộ đối thoại chính trị và dàn xếp hòa bình ở Libya. Chúng tôi chống lại bất kỳ việc sử dụng vũ lực, bạo lực và phương pháp quân sự nào để giải quyết cuộc xung đột nội bộ Libya. Chúng tôi không ủng hộ bất kỳ bên nào. Đối với cuộc xung đột ở Libya, Nga không có ý định can thiệp, ngăn chặn bất kỳ bên nào hoặc bật đèn xanh cho ai đó"", Sputnik dẫn lời ông Dengov.",0.0
93,"Theo đặc phái viên Nga, các báo cáo trên truyền thông tuyên bố rằng Nga gửi lính đánh thuê đến Libya là những tuyên bố không có căn cứ, được tuyên truyền nhằm mục đích phá hoại các cuộc đàm phán về giải quyết khủng hoảng Libya.",0.0
94,"""Cả trên truyền thông và trên toàn cầu, có những bên khác nhau có liên quan đến tiến trình Libya và cố gắng thao túng thông tin. Không có nguồn tin chính thức nào xác nhận rằng điều đó đã xảy ra"", ông Dengov lên tiếng.",0.0
95,Ông nhấn mạnh rằng Nga đã sẵn sàng tổ chức các cuộc tham vấn với bất kỳ bên nào trong cuộc xung đột và chia sẻ kinh nghiệm hòa giải. Dengov bày tỏ niềm tin rằng nhiều bên trong cuộc xung đột Libya khó có thể đạt được sự đồng thuận trong tương lai gần.,0.0
96,"""Các bên khác nhau có quan điểm khác nhau và chúng tôi biết có bao nhiêu bên. Ngoài ra, các thế lực nước ngoài đang thực hiện ảnh hưởng của mình và mỗi bên có quan điểm và lợi ích riêng. Vì vậy, sẽ rất khó để hợp nhất tiến trình này. Đó là một công việc kỹ lưỡng và phức tạp. Nga hiện đang làm công việc này với tư cách là người tham gia tích cực vào tiến trình hòa bình"", ông Dengov giải thích.",0.0
97,"Theo RT, Nga thề đáp trả nếu Mỹ hiện đại hóa cơ sở radar Globus 2 ở thị trấn Vardo, cực bắc Na Uy đồng thời tuyên bố rằng radar này chuyên để giám sát Nga.",0.0
98,Lời cảnh báo trên được người phát ngôn Bộ Ngoại giao Nga Maria Zakharova hôm 22/5 trong một cuộc họp báo.,0.0
99,"“Có mọi lý do để tin rằng radar này sẽ đặc biệt giám sát lãnh thổ Nga và sẽ trở thành một phần của mạng lưới phòng thủ tên lửa toàn cầu của Mỹ. Rõ ràng sự chuẩn bị quân sự kiểu này gần các biên giới Nga hay biên giới nước khác đều không thể cho qua. Do vậy, chúng tôi đang xem xét các biện pháp đáp trả để đảm bảo an ninh của nước mình”, đại diện Bộ Ngoại giao Nga nhấn mạnh.",0.0
100,Bà Zakharova thêm rằng cơ sở radar này sẽ trở thành một phần của hệ thống tên lửa chống tên lửa đạn đạo của Mỹ.,0.0
101,Bà Zakharova lưu ý rằng Nga đã nhiều lần bị chính quyền Na Uy từ chối tham vấn về vấn đề này.,0.0
102,"Trạm radar Globus 2 do Mỹ tài trợ đặt tại quần đảo Vardo ở cực bắc Na Uy, cách biên giới với Nga chỉ 50km. Trạm Globus 2 do các nhân viên tình báo quân sự Na Uy đảm nhiệm.",0.0
103,"Hồi tháng 4/2016, quân đội Na Uy thông báo hiện đại hóa trạm radar này trong thời gian 2017-2020 và dự kiến bao gồm một radar khác (Globus 3 đang được xây dựng). Công tác nâng cấp trạm radar Globus 3 diễn ra giữa lúc Mỹ triển khai Hệ thống phòng thủ tên lửa tầm cao giai đoạn cuối (THAAD) ở Romania.",0.0
104,Moscow nhiều lần bày tỏ quan ngại việc Tổ chức Hiệp ước Bắc Đại Tây Dương (NATO) tăng cường hiện diện quân sự dọc các biên giới với Nga và ở châu Âu.,0.0
105,"Trạm radar ở Na Uy là một phần trong hệ thống phòng thủ tên lửa của Mỹ, có thể theo dõi các vụ phóng tên lửa đạn đạo liên lục địa của Nga, cũng như giám sát hoạt động của Hạm đội Phương Bắc thuộc Hải quân Nga.",0.0
106,"Những năm gần đây, Mỹ đang tăng cường các hoạt động ở Bắc Cực. Năm 2017, Mỹ muốn chi 21,4 triệu USD cho việc sửa chữa và xây dựng lại hai nhà chứa máy bay tại căn cứ không quân Keblvike ở Iceland (bị đóng cửa năm 2006).",0.0
107,"Hồi năm 2017, Washington từng dự kiến đầu tư 5 triệu USD để xây dựng hệ thống radar mới tại song Narva, biên giới tự nhiên giữa Estonia và Nga.",0.0
108,"“Sau khi hoàn thành, cơ sở sẽ giúp phát hiện ngay các hoạt động gần biên giới, cũng như xử lý tất cả sự cố xảy ra tại biên giới trong thời gian thực”, Bộ trưởng Nội vụ Estonia Andres Anvelt cho biết.",0.0
109,"Radar do Mỹ tài trợ là một phần của dự án trị giá 82 triệu USD (hơn 1.800 tỷ đồng) để củng cố biên giới của Estonia với Nga, bao gồm việc trang bị kỹ thuật giám sát hiện đại theo dọc chiều dài đường ranh giới.",0.0
110,"“Không chỉ có ý nghĩa với Estonia, việc xây dựng biên giới phía đông là điều quan trọng đối với toàn bộ Liên minh châu Âu (EU) và Tổ chức Hiệp ước Bắc Đại Tây Dương (NATO). Đó là lý do tại sao, dự án cần phải được thực hiện triệt để và đúng cách để bảo đảm sự vững chắc trong nhiều thế hệ tiếp theo”, ông Anvelt nói, đồng thời nhấn mạnh, Estonia hoan nghênh sự đóng góp của ""các đối tác thân thiết từ bên ngoài”.",0.0
