,Comment
25,"xin lỗi nhưng phim ngày bây giờ ngày càng nhảm. diễn viên thì toàn hở mông hở bú. trong phim có cả cảnh vỗ mông nữa thì đến quỳ. đạo diễn phải tôn trọng người xem một tí chứ. có phải chỉ có những người trung trung tuổi xem đâu, còn có cả người lớn tuổi và trẻ em nữa. ngồi xem xem hài cùng với gia đình mà cứ như xem phim khiêu dâm ngại vcl. thật sự bây giờ mở lại những phim hài ngày xưa xem lại vẫn buồn cười. nhưng thể loại này thì xem lại lần 2 thì hết cảm giác. ý kiến riêng cá nhân. nếu có quá lời cho mình xl"
26,hay cảm ơn Ad
27,Tết gần đến là hóng. Cảm ơn các bác nhiều. <3
28,Phần này không hay lắm
29,Hài thì nhạt chỉ giỏi quảng cáo
30,"Không phải phim hài không hay mà là hài nhiều quá,ra nhiều quá nên nó trở nên hơi mất thú vị,không như trước đây mỗi năm mới có một vài phim... Tuy nhiên để có được một sản phẩm là biết bao nhiêu công sức của biết bao nhiêu người.. Chúng ta nên biết ơn họ,vì chúng ta xem free,hãy like và chia sẻ.. Đó là cách cám ơn văn minh nhất. Đừng chê bai hay này nọ.. :)"
31,quả siêu xe mui trần giáp vàng bao tiền thế chú bình trọng ơi
32,#tangsubiclick
33,Hay vãi cả ra rồi
34,"Phim thời bjo toàn khoe bím với khoe vếu thôi
Hỏng hết một thế hệ 
Chán cái lối làm phim thời 4.0 
Thất vọng"
35,"Xem xong Đại Gia Chân Đất lại hóng Làng Ế Vợ, năm nay Chiến Thắng đóng lại chắc hay lắm"
36,"Hài bây giờ có nhiều hình ảnh phản cảm quá, ko phù hợp cho người già và trẻ em"
37,"Mn ủng hộ mình: https://youtu.be/3sjelyQA-mw
Nếu thấy hay thì đừng quên LIKE và ĐĂNG KÝ KÊNH để ủng hộ mình"
38,"tôi thấy phim vô cảm biến dị làm mất đi hình ảnh phim việt nam 
kiểu nhân vật đá đểu nội dung đén diễn viên tôi ko ưa được cái nhìn nào hết thề chỉ xem tập 1 và ko bao h xem tập nào nữa 
chẳng may để em nhỏ coi thì những lời nói hay hành động của bộ phim tết này sẽ ảnh hưởng cả một thế hệ"
39,Nuột :))
40,"Haiz. Bây giờ hài Tết mới thì vẫn xem nhưng k còn cảm xúc hồi hộp mong ngóng như ngày xưa nữa rồi, nhớ ngày nhỏ cứ gần đến Tết là tụi nhỏ chúng tôi lại bàn tán về đĩa hài Tết, lúc nào chủ đề cuộc trò chuyện cũng là câu "" m dk xem hài Tết năm nay chưa?  T xem rồi nhé..  Bala bala "" và thế là cả lũ lại ngồi cả buổi chiều ngoài bờ đê hay ngoài đầu làng để kể cho nhau nghe, cho nhau mượn băng đĩa về mở xem cả ngày k chán. Ngày xưa k cần biết đĩa hài đó có Xuân Hinh hay k nhưng chỉ cần là hài Tết thì auto gọi là đĩa Xuân Hinh  :) .ai còn nhớ mấy cái đĩa hài "" Râu quặp, thầy rởm, lên voi... "" ngày xưa thì điểm danh nhé. 1 thời để nhớ  ❤ ,haiz. Bao giờ cho đến ngày xưa...  😓"
41,"Tập mới nè m.n: 
https://www.youtube.com/watch?v=Hy2kOyb3fQc"
42,Phim lên án những chuyện có thật. Nh làm 16+ quá. Thấy mỗi làng ê vợ là oke
43,38:4 veu em ao trang co nuoc
44,Mn cho mình hỏi bài Happy New Year đoạn cuối của ai v ạ !?
45,"que onda con sus telenovelas :v
yo puro Pedro infante prros :v"
46,"chất lượng 240 thì xem nỗi gì, HD đâu?"
47,Nhiều v là dc co chieu trên truyen hinh đâu. Ai xem thi xem ý kiến cc
48,hài bjo toàn khoe vếu vs sản phẩm ko ra gì
49,"nói chung là cũng xem được không đễn nỗi.
một phần là do nhà sản xuất phim muốn quảng cáo sản phẩm.
và đánh vào nhiều vấn đề"
50,"Mình là fan của phim hài miền Bắc từ rất lâu rồi. Năm nào cũng hóng để coi, hoặc có hài nào là coi gần hết
Đại Gia Chân Đất năm nay vẫn giữ được nét hài làng quê, nhưng lại thêm nhiều cảnh nóng hở hang. Khi coi cùng gđ rất chi là ngại và phải tua đi. Phim của hãng Bình Minh gần đây toàn là diễn viên  mới toàn ăn mặc hở hang như vậy. Biết là để tăng lượt xem , nhưng  nếu như vậy thì những khán giả chân chính sẽ mất dần. Nhiều bạn cứ nói k xem thì đi chỗ khác. Nếu các bạn muốn xem cảnh nóng thì lên mạng kiếm rồi coi tha hồ. Còn đây là HÀI không phải để khoe hàng. Mong Hãng phim có thể xem đc bình luận của mình và cải thiện được tốt hơn. Dù sao cũng cảm ơn Hãng đã cho mình những phút giây thư giãn"
51,Ra đường sợ nhất Lamboghini. Về nhà sợ nhất Mượt không Mặc Gì
52,"Xem hài tết càng ngày càng CHÁN, chủ yếu là QUẢNG CÁO."
53,Ờ Lan cave e còn làm ở đó k ta
54,"Xin có ý kiến vs hãng.
Càng ngày hài càng có nhiều hình ảnh tiêu cực làm mất đi chất hài của nó"
55,"Vẫn cái thôn quê ấy , vẫn những con người ấy và 1 năm sắp qua . Chúc mn 1 năm mới an khang thịnh vượng."
56,Xem toàn quảng cáo với giới thiệu sản phẩm. Quảng cáo cũng mức độ thôi chứ ...
57,hay
58,Đại Gia Chân Đất .phim hài  cười bể bụng luôn bạn
59,Bấm vào Đăng Ký tương tác qua lại nha cả nhà. Xin cảm ơn!
60,"Ai đang đọc cmt
Sang năm mới 2019 tôi muốn nói :



""Chúc mừng năm mới""



Kính chúc all mn 
-thật nhiều sức khỏe và luôn luôn vui vẻ 😀.
-thành công trong công việc: học tập, việc làm, tình yêu 💑,....bala bala
-Gia đình vui vẻ quây quần 
""Xin chúc một năm mới bình an. Happy New Year 🎆""
( Chúc sớm cho nhanh đến tết háo hức quá😍 hihi )"
61,"nnkkpj

  

'("
62,Coi tất cả các tập của Đại Gia Chân Đất tới giờ thích nhất là bác đại gia Văn Tích
63,"Chắc tốn nhiều công sức lắm 
Chúc ekip thành công nhé ❤"
64,Hài càng ngày càng nhạt giờ hóng mỗi Táo Quân và hài hãng Thăng Long !!
65,"*Gái xưa bóp vú lầm lì
Gái nay bóp vú ừ ừ nữa đi
Gái xưa chạm cái bảo dê
Gái nay chạm cái chưa phê anh à*"
66,quá hay haaa
67,Có ad nào( Đăng Ký + Like) chéo giúp nhau nhoe!!
68,"Sắp ae ơi, Tương tác lâu dài nhé"
69,hóng mãi ae dân bắc đoàn kết 2019
70,Sao chỉ có 144 vậy. Xem mờ quá
71,"phút thứ 3 có một con gà bị què, phía góc trái dưới màn hình"
72,"Ko thấy video
This video is unavaible on this device
Ai bị như thế ko chỉ mình với"
73,canh trong phim này ở đâu mà đẹp vậy mọi người
74,Ai hóng làng ế vợ tiếp điểm danh nào
75,Xin tên bản nhạc dạo đầu tiên với. Ai biết k?
76,LOVE MỌI NGƯỜI 2019 VUI VẺ HẠNH PHÚC NHA
77,LOVE MỌI NGƯỜI 2019 VUI VẺ HẠNH PHÚC NHA
78,Phim thì hay nhưng t thấy toàn quảng cáo sản phẩm ko
79,"Thật buồn năm nay tết ở đâu,tết ở xa lắm😔
Vì tôi mất bố rồi các bạn ạ😥"
80,Có làng ế vợ ko ae
81,AI THẤY HÀI HAY LIKE NÀO!! chéo supp vs nhau đi nào
82,กินเปรี้ยวศักดิ์สิทธิ์ประเทศไทย
83,"Phim đại da chân đất từ đầu tới cuối tao chỉ thấy nhảm và nhảm chứ j có j hay ho cả 
K có h để cười mà con xàm xí nữa"
84,ae dân Hải Dương đâu rồi
85,Xem hết cả tập t chả thấy chỗ nào đáng cười..hài cười vỡ bụng đây ư
86,"Chúc mừng năm mới 🎆🎆🎆🎆
Mong 2019 đến với tôi thật nhau 💝💝💝💝"
87,Hay lam vui ho rang
88,Bà mượt là bà lan trong quỳnh búp bê thì phải . Bà này có số làm ngành thật.
89,"Ra đường sợ nhất công nông
Về nhà sợ nhất mượt không mặc gì 😂"
90,Không thể nhảm hơn đc nữa.vô duyên và quảng cáo
91,Đạo điện cho cái ông quang tèo đóng bớt ngu đi dc không thấy ông ta toàn bị bắt nạt Úc chế vc
92,"Có ai ko?kết bạn hẹn hò đi,e năm nay 25 tuổi,thích kết bạn giao lưu 4 phương ah"
93,Bh hài nên đời rồi. Xe pháo nhà to mất cảnh thôn quê
94,"Ra đường sợ nhất công lông
Về nhà sợ nhất Mượt ko mặc gì🤣"
95,"Ông Tích vẫn quái hơn, ông Sự toàn bị lừa mà vẫn k rút ra được kinh nghiệm j cả"
96,"Có em lai tây,  chơi kiểu dogy thì sướng phải biết"
97,Có cả lan cave
98,Hay quá cứ sắp đến tết lại ngóng đại gia chân đất
99,"Cái tuổi nó đuổi cái xuân....Nhưng kệ..vẫn hóng tết đến xuân sang, để đc xem bom tấn Đại Gia Chân Đất & Làng Ế Vợ! Cảm ơn Anh Cóc và hãng phim Bình Minh rất nhiều 😁😁😁"
100,càng ngày càng dung tục -.- .. xưa trẻ con còn xem được giờ thì bị cấm rồi
101,3p11 xe wave S đỏ lúc sau là xe wave đỏ đen 😂 hạn sạn to quá.
102,Lôm côm ba lăng nhăng🤣🤣🤣
103,Cười không nhặt được mồm bà con ơi.
104,Hay quá :))
105,vú bướm lên đờii.lên sâu bịt
106,Xem mấy cái hài này chỉ nhìn thôi chứ chả hiểu gì. Chẳng thấy không khí tết đâu
107,"Bác Quang Tèo nhìn dê nhỉ
Bác đấy về quê mk r 🤗 hài vãi"
108,14:38 mượt hở bánh bao kìa ahihi
109,Nhạt hơn nước ốc..hết vị rồi..hazzz
110,nhanh qua tu ngay xem cai ''gioi danh nkhong chet'' nay da ra den cai thu 9 roi
111,Nào đừng có ôm tôi người ta cười cho bây giờ. Khịch khịch
112,Chị lan trong quỳnh búp bê đã đến đây rồi sao
113,Hay đay
114,"trông ngóng cả năm ,cuối cùng nhạt hơn nc ốc.đồng ý quảng cáo nhà tài trợ.nhưng hạn chế tgian thui.q/c hết nửa thời lượng zui còn đâu.haizzz thất vọng."
115,https://youtu.be/3sQ9JMQQf18 Anime hành động - võ thuật 2019- Nhạc anime remix hay
116,mn ơi mình mới lập kênh thứ 3 mn vào ủng hộ mình vs ạ
117,"Toàn là hài nhảm,"
118,Bạn nào biết tên nhạc dạo nền lúc đầu là gì không
119,Ai vừa xem vừa cmt vừa đọc cmt giống mk k...??? Chéo sub uy tín ạ
120,Yêu cầu hài tết clip nào cũng phải để tải suống nha
121,mình hóng đại gia chân đất goá mà thật thất vọng .nhạt nhẽo
122,tôi không thể nào mà ko có gì đâu mà đi chơi với bạn bè của mình là người yêu của Bùi Tiến Dũng cảm ơn em nhiều lắm đó nha em yêu anh nhiều lắm đó nha em yêu ngủ đi nha trang hả anh yêu của a ngủ sớm cho e di hoc k phải e ko muốn ăn cơm rồi nghỉ sớm cho anh nhé vàhạnh phúc bên gia đình và ra đá bóng ko phải yên bình Nhấtt
123,"Cái hình bìa vl thật, tối qua định bật lên cả nhà xem mà thấy cái bìa dell dám bật"
124,14:37 chị lan :)) quỳnh búp bê 😆😆
125,nghì sao vậy có cướp dí nhau mà vừa chạy vừa đổi xe à. con ware S con ware RS
126,"Em thấy hài ngày xưa rất hay,   mà hài chủ yếu người già và trẻ em càng ngày càng ăn mặc hở hang mà tình tiết hài thì quá lố"
127,tôi thấy trong đại gia chân đất chắc chỉ có phần 3 là hay nhất
128,Còn 40 ngày nữa là đến tết rồi ! Háo hức quá 😃
129,Hài rẻ tiền
130,Hay lắm... Lại gần tết rồi cảm ơn bình trọc
131,"Để tốc độ phát 0,5 đi, xem hay lắm"
132,"Những câu nói bất hủ của Ông Tích Và ông Sự theo các phần :))
Phần 1: Chắc chắn
Phần 2: Ấm cúng
Phần 3: Rực rỡ, bét tè là nhè
Phần 4: Ngay bây giờ, ngay tại đây, ngay tại bối cảnh lịch sử này... 
            Kính thưa anh và đặc biệt là 3 chị đây 

Phần 5: Chấm hết
Phần 6: Vật Vã
Phần 7: không ngờ cái họ nhà này( nhân sự cái họ nhà này ) lại có vụ trẻ thông minh nhất hành tinh
Phần 8: Chấm hết, không ai nói gì nữa
Phần 9: Lôm côm, ba lăng nhăng 
             Nghiệt ngã 

1 vài từ nữa như là 
- bây giờ như thế này nhá
- Hỗn, láo, mất rậyyyyy
- Bố Láo ăn cắp
- Đừng có đùa với tao
- Đừng có đùa với thằng này"
133,Dân 37 nghệ an có ai theo dõi không? điểm danh cái. Tiếp tục ra nhiều tập mới đi đạo diễn tôi luôn ủng hộ nhé@
134,Hỏi thật phim này là thể loại phim gì vậy?
135,"Mùa đông lạnh lẽo thế này mà các em ấy mặc thiếu vải quá, khổ thân các em ấy :)))) 

https://youtu.be/sB8pYQN3FW8"
136,Hài ngày xưa hay hài bây giờ nhảm nhí quá
137,Thích nhất hai con bé đứng làm mẫu về su tu lồn to vãi
138,Ai xem Đại gia chân đất 9 năm rồi như em like nhé ( chưa bao giờ được 2 like)
139,Phận là con trai chưa bao giờ dc 100like!???
140,"Đại Gia Chân Đất 2019 Tập 2:
https://lopte.pro/gt0f"
141,Mỗi người 1 cảm nhận mà vs e thì dm nhạt vl. Toàn khoe hàng họ hay giờ hài nó phải thế :)))
142,Quá hay luôn
143,21:27 nó vỗ cái j ý nhỉ 🤔🤔🤔😂😂🤣
144,Cám ơn chú Bình Trọng ♥️ và hãng phim bình minh 💓
145,Hãng phim tuyển mấy con như mấy con phò đóng phim. Sửa thì nát bét cả mặt. Phản cảm
146,E áo đỏ sọc caro lúc đầu là xinh nhất
147,Tôi phê phán video này đừng có nói xấu xe công nông nhé
148,co ai fan bác Tích không điểm danh nào
149,Hello anh em
150,Lan ca ve
151,Lan cave
152,Lan cave
153,767 likes sau 25 phút - - Lúc bạn xem video này được bao nhiêu Like rồi?
154,sam lol
155,"Phim hài ngày càng tục tiểu, mất cái thôn quê của ngày xưa rồi"
156,"Hình như có cảnh quay ở hồ Đại Lải ở xuân hoà,fúc yên,vfúc fải ko m.n"
157,áo đen đóng giả bị cướp đoạn hơn 20p tí fb tên gì ấy nhở xinh gê :)))
158,"Nếu ko có kinh phí thì ngưng làm phim. Xem phim đâu đâu cũng chỉ thấy quảng cáo sản phẩm quá lộ liễu, nội dung thi ko có gì hài hước."
159,hài cc gì xem 5 phút lại quảng cáo tắt cmnl
160,trung Hiếu đóng vai cháu cụ nhưng nói năng vô phép quá nói voi bề tren mà quá náo không biet tôn trong và lê phép sao mà ghet thế cai thăng trung hiếu thế
161,đm phim quảng cáo lắm vcl như đầu buoi
162,14:39 khỏi cảm ơn
163,"Hài Bắc chẳng có gì ngoài cái dân giã chân thật, tuy nhiên, cần hạn chế bớt những cái tục tỉu phản cảm, đừng phô quá những cái ở thôn quê dù biết nguồn hoàn toàn có thật nhưng khi đưa lên thì cũng nên cân nhắc cái gì có thể và cái gì nên bỏ, tết là không khí vui vẻ, thoải mái là điều cần thiết nhưng đôi khi cũng đừng thoải mái quá. Mong anh Bình Trọng sẽ làm hay hơn ở những kịch bản sau, dù biết anh có nhiều kinh nghiệm. Lượt người xem là quan trọng nhưng sản phẩm tết đem đến cho khán giả phải đáp ứng được mọi lứa tuổi, nhu cầu chứ không phải theo thị hiếu như những dịp khác, đây chỉ là lời góp ý nhỏ, em không phải là người có kinh nghiệm hay biết gì về hài nhưng muốn nói lên ý kiến cá nhân, những điều mà mình thấy, dẫu sao hài Bắc vẫn rất hay, mong các anh giữ được nét hài mộc mạc, dân giã vốn có của nó"
164,tich dam de mat day
165,sexy lady không phải mua thuốc mắt
166,Sao rãnh thế ko bit.chã có tý nao vui
167,xắp tết rồi :)) 40 ngày đếm ngược
168,Thằng nào k xem thì next đi.cứ ở đó mà chê này chê nọ.ngứa cả đít.k xem ra chỗ khác.chứ chê hài bắc mà cứ vào cào phím.hài nam các ông k nhảm chắc.ở đó mà xàm vs nhảm. 🤣🤣🤣🤣
169,tết vừa xem đại gia chân đất vừa sóc lọ thì phê thôi rồi
170,xem thấy ô sự ngốc quá toàn bị ô tích bắt nạt
171,"Hài nhảm, khoe da khoe thịt  k hiểu sao ông kia đc NSND"
172,"Càng ngày càng nhạt , Không như vài năm trước !"
173,100 LIKE BÚ CU A QUANG TÈO chụt chụt quay video
174,Cái ô tô huyền thoại 😂😂😂
175,"Hài tục tĩu khoe thân , xem chán.    Mong bác quang tèo bỏ đi , mất hình tượng trc giờ gây dựng"
176,Thích bác Trung Hiếu đóng nhất  :)
177,"Tôi không biết bạn là ai, nhưng nếu bạn đọc được bình luận này thì chúc bạn năm 2019 bình an và hạnh phúc. Nhớ qua kênh mình xem ủng hộ mình nha"
178,Hay...mong năm sau tiếp tục
179,Bây giờ không biết xem phim hài hay là đang xem quảng cáo nữa
180,Thích xem phim hài đóng ở làng quê hơn mất hết truyền thống r
181,Chả hiểu lôi đâu 3 con cave tàn tạ đóng hài
182,"tết nay không có hài tết của phạm đông hồng thăng long audio nữa rồi.
k còn những pha đá xoáy thâm hậu châm biếm tình hình cả năm, buồn"
183,"Quả là hài hước 
Đéo thể nhịn được cười"
184,Đợi mãi
185,hài bây giờ nhảm  vl . toàn khoe hàng các thứ . chỉ có táo quân là hay nhất
186,em tóc vàng trả vờ bị hại nhìn ngon nhỉ?
187,có ai thấy nhảm giống mình không??
188,"Hài ra nhiều,  nội dung ko thay đổi là mấy. Xem cảm thấy nhàm chán và ko hay."
189,59:07 hai con mèo 🐱
190,Xe a trọng đi có phải honda xr 150 ko mọi người
191,Nể nhất cái bọn hóng phim để xem xong rồi lại cmt chê bai.
192,pó tay ong binh trong khon the làm luon ten cướp
193,Hay hay cho một like 👍
194,Chéo sub đê ae
195,"Ông Sự này suốt ngày bị ông Tích dắt mũi bắt nạt, khổ vl hahaaaa"
196,"sao lại mất top 1 thịnh hành rồi.? với lại anh thumbnail cũng bị thay luôn, haha chắc bị dìm rồi"
197,Mấy em ở trong đoàn Lô Tô thì phải
198,Ai phôn 4 phờ lớt ^^
199,hay vl
200,ai phôn 4s pờ lút😂😂😂😂😂
201,Phim nhạt..lan ma lan man.
202,Vẫn con siêu xe huyền thoại năm ngoái à :))
203,Happy new year 2019 cùng xem hài tết và đếm ngược
204,Nói thật là chán @@ Góp ý chân thành đấy ak haizz
205,Hài mỗi năm 1 khác và đã năm thứ 9 ư 😚😚😚
206,Hôm qua video bị sao vậy
207,Hay lem
208,Hài vớ vẩn làm j có cave ở làng thật kinh
209,"Hài tết vớ va vớ vẩn hết quảng cáo sơn, thẩm mỹ qảng cáo cả tầm quất. chỉ gái là gái 2 ông mãnh dê cụ này"
210,nếu em muốn anh sống sao cho vừa lòng người khác tại sao lại cớ Ý là sao hả em yêu anh nhiều lắm đó nha em yêu anh nhiều lắm đó nha em iu ơi là vui lắm đó anh ko muốn đi học rồi đi ăn đi nhé anh ngủ đi nha anh em không thể nói ra được cái làlĩnh vựchắn cực kì tốt nhất để em xem phimhoạt hình hay là đi học rồi đi ăn đi nhé anh ngủ đi nha nha em cũng không phảidạng vừa đau đầu chưa ngủ à nha a choi ko có tiền ko gọi là yêu em lắm rồi đấy nhá ngủ đi nha anh em không thể nói được làm việc ở đây ko ai thèmquan tâm và ủng ra sao đây anh em đi học thêm rồi hả e
211,Mình thấy phim đại gia chân đất vẫn hay hơn làng ế vợ
212,Hay quá tết có phim xem
213,Quá hay
214,14:39 cho ai thích soi mói mà lười dừng đúng lúc
215,vãi video. chất lượng chỉ có 240 thôi là sao..?
216,con xe huyền thoại của năm ngoái
217,11130 11130 6011
218,Nặng mùi Quảng cáo quá. Lố lăng
219,top1 thịnh hành rồi. Rực Rỡ :))
220,tôi lại nhớ đến bác Phạm Đông Hồng 😌người luôn cho ra những bộ phim hài Tết mang cái rất Việt Nam ❤️
221,Cảm ơn nhà Bình Minh Flim đã cho ra 1 sản phẩm tuyệt vời!
222,nay ai còn xem giống tôi
223,"Dù toàn diễn viên hài được nhiều người yêu quý, chỉ là nhiều hài của giới trẻ quá nên thấy nhat"
224,Có ai bik xe máy màu đỏ là xe j k v ah
225,"đại gia chân đất càng ngày càng nhạt vl
đc mấy phần đầu hay"
226,"cứ gần tết lại đc xem bác tích với bác sự hay nghê 
sắp đến tết r chúc mừng năm mới an khanh thịnh vượng 
phát tài"
227,https://youtu.be/xE-au07K2ZA
228,Lão sự nhìn mặt ngu toàn bị ăn hiếp
229,Vãi cả cuộc thi Tiếng Hát Sao Mai Nghành
230,14:18 hơi mặn :))
231,Fan Lâm Chấn Tăm điểm ranh 👍
232,Thấy nhiều ng con xa quê cmt.Và mk cũng vậy😊
233,tập này bị lỗi sao k xem dc AD
234,Mình rất thích bác bình trọng rất giỏi hôm dk gặp bác ngoài đời 1 lần mà k kịp bắt tay
235,Cái nhạc không lời đoạn đầu tên gì ấy nhỉ các bạn
236,Chu tich Nhat chao 500 ae
237,38:30 co cai gi ne ;v
238,Hài càng này càng nhạt nhèo chỉ khoe vếu khoe l* là chính hài ở chỗ nào
239,Ai thấy anh huy cường đáng thương điểm danh
240,"có ai cho e xin bản nhạc dạo đầu k ạ,."
241,xem mà ông tích ông ý khôn quá !
242,Ai nhận ra Lan cave không nhỉ 🤗🤗
243,Ae cho hỏi cô diễn viên xinh đẹp đứng cạnh bak trọng tên gì vậy ạ
244,Hay lắm chú trọng =)
245,quay nhu cai lon
246,2:54 con gà bị què thì phải 😄😄😄
247,Hai nhat qa
248,Anh sai rồi e xin lỗi a luôn😅
249,"Người ta nói gì thì nói, mong sau này vẫn được gặp cụ Tích, cụ Sự, cụ Đoành BMF ok với bọn em nhé 😁"
250,T nhớ là năm ngoái cái xe màu vàng bán rồi và cụ Đoành có hẳn 2 tỉ cơ mà sao bây giờ lại có ((=
251,Phim hài nhưng ko như ngày xưa nữa bởi vì trong phim quảng cáo cho các hãng sp nhiều quá
252,Hài bây giờ càng ngày càng xuống dốc
253,Hanh ơi có làng ế vợ 5 tập 3 chưa anh
254,"qua hay, ai thay hay xin 1like"
255,"Xuân nai cũng giống xuân xưa.
7 năm kg về ăn tết với GĐ, vì cs phải xa nhà, sống nơi đất khách quê người.😤😤😤😤"
256,mọi người có thấy bãi máy xúc không
257,Xe của 2 thằng cướp đi lúc đầu phim ko khớp nhau. Phim h chán quá
258,"Gái xưa bóp vú lầm lì
Gái nay bóp vú ừ ừ nữa đi
Gái xưa chạm cái bảo dê
Gái nay chạm cái chưa phê anh à
Gái xưa chân đất thật thà
Gái nay động tí đùa bà hả cưng
Gái xưa không chửi lung tung
Gái nay động tí là bung võ mồm
Gái xưa ăn nói có hồn
Gái nay hở tí là l** với cu
Gái xưa ăn ở tích tu
Gái nay chỉ thích bu trai nhiều tiền
Gái xưa thì rất là hiền
Gái nay động phải bà điên rồi này
Gái xưa ngoan ngoãn ở nhà
Gái nay chạy nhảy la cà sớm hôm
Gái xưa ăn nói khéo mồm
Gái nay kinh nghiệm dê xồm như ranh
Gái xưa vẻ đẹp trong lành
Gái nay chát phấn như hành phi non
Gái xưa nhìn cái bảo ngon
Gái nay thoáng thấy tưởng con bò vàng
Gái xưa như ngọc giữa đàng
Gái nay như thể cát vàng trôi sông
Gái xưa không biết chơi ngông
Gái nay tý tuổi lấy chồng theo trai
Gái xưa thì ít đong đưa
Gái nay dưa chuột vừa vừa cũng chê
Gái xưa thì gét tính dê
Gái nay trai đẹp bê đê cũng sờ
Gái xưa đi học đúng giờ
Gái nay hổ báo, giả vờ hươu nai
Gái xưa yểu điệu mảnh mai
Gái nay có cú có gái đàng hoàng
Gái xưa không để hở hang
Gái nay bơm ngực khoe hàng bốn phương
Gái xưa chăm chỉ ruộng mương
Gái nay mặc váy ra đường vẫy tay
Gái xưa chỉ giỏi vá may
Gái nay chỉ giỏi cầm chày chọc hang
Gái xưa không thích ra đường
Gái nay chút chút lên giường nhé anh
Gái xưa ngoan ngoãn hiền lành
Gái nay lá ngọc cành vàng kiêu sa
Gái xưa kính trọng ông bà
Gái nay vài tiếng bỏ nhà đi ngay
Gái xưa thích ra ruộng cày
Gái nay chỉ biết đi bay suốt ngày
Gái xưa không thích đó đây
Gái nay chỉ thích nhảy dây trong sàn
Gái xưa không biết show hàng
Gái nay chỉ biết đọ hàng ai hơn =)))"
259,Anh oi sao ko co bac vô cho đu bo vô tích sự
260,Hong mai tu sang
261,Cảm giác đồng quê thân thuộc ở bộ phim này..
262,mượt lần này éo ăn thua...khô qá mượt nó phải ngon cơm tý chứ
263,Hài bâyh chỉ có khoe da thịt và rất nhảm không đáng xem mấy năm rồi vẫn cái đại gia chân đất này
264,Mờ quá k chỉnh đc độ phân giải
265,Bác tích vui vui bác nào cũng vui 😂😂🙏🌹chúc tất cả các bác mạnh khỏe xinh đẹp 👍🙏🌹chúc toàn thể gia đình 👪hạnh phúc 😂🙏🌹hài bác ưng ý hơn hài Miền Nam 😂🙏🌹
266,Hay quá đấy nhỉ còn nhiều tập không 😘
267,Ad cho em xin tên đoạn nhạc giới thiệu nghe vui quá
268,"Ai sub tui đê
Cmt bên dưới tui trả"
269,sao chất lượng có 144p vậy
